filename,moisture,ash
GUOBEI_imgcls_C_0000001.jpg,4.22,39.38
GUOBEI_imgcls_C_0000002.jpg,4.68,37.12
GUOBEI_imgcls_C_0000003.jpg,4.66,37.21
GUOBEI_imgcls_C_0000004.jpg,3.95,40.76
GUOBEI_imgcls_C_0000005.jpg,4.0,40.49
GUOBEI_imgcls_C_0000006.jpg,4.2,39.52
GUOBEI_imgcls_C_0000007.jpg,4.84,36.32
GUOBEI_imgcls_C_0000008.jpg,4.22,39.4
GUOBEI_imgcls_C_0000009.jpg,3.86,41.19
GUOBEI_imgcls_C_0000010.jpg,4.04,40.3
GUOBEI_imgcls_C_0000011.jpg,4.49,38.04
GUOBEI_imgcls_C_0000012.jpg,4.66,37.19
GUOBEI_imgcls_C_0000013.jpg,4.19,39.55
GUOBEI_imgcls_C_0000014.jpg,4.22,39.4
GUOBEI_imgcls_C_0000015.jpg,4.08,40.12
GUOBEI_imgcls_C_0000016.jpg,4.32,38.88
GUOBEI_imgcls_C_0000017.jpg,4.51,37.94
GUOBEI_imgcls_C_0000018.jpg,4.38,38.61
GUOBEI_imgcls_C_0000019.jpg,5.44,33.31
GUOBEI_imgcls_C_0000020.jpg,4.63,37.35
GUOBEI_imgcls_C_0000021.jpg,4.07,40.17
GUOBEI_imgcls_C_0000022.jpg,4.45,38.26
GUOBEI_imgcls_C_0000023.jpg,4.68,37.11
GUOBEI_imgcls_C_0000024.jpg,4.16,39.72
GUOBEI_imgcls_C_0000025.jpg,4.64,37.3
GUOBEI_imgcls_C_0000026.jpg,4.46,38.21
GUOBEI_imgcls_C_0000027.jpg,3.76,41.71
GUOBEI_imgcls_C_0000028.jpg,4.51,37.96
GUOBEI_imgcls_C_0000029.jpg,4.74,36.8
GUOBEI_imgcls_C_0000030.jpg,4.44,38.3
GUOBEI_imgcls_C_0000031.jpg,4.8,36.52
GUOBEI_imgcls_C_0000032.jpg,4.2,39.48
GUOBEI_imgcls_C_0000033.jpg,4.75,36.76
GUOBEI_imgcls_C_0000034.jpg,4.18,39.61
GUOBEI_imgcls_C_0000035.jpg,4.02,40.4
GUOBEI_imgcls_C_0000036.jpg,4.0,40.51
GUOBEI_imgcls_C_0000037.jpg,4.45,38.24
GUOBEI_imgcls_C_0000038.jpg,3.74,41.79
GUOBEI_imgcls_C_0000039.jpg,4.49,38.04
GUOBEI_imgcls_C_0000040.jpg,4.69,37.07
GUOBEI_imgcls_C_0000041.jpg,4.64,37.29
GUOBEI_imgcls_C_0000042.jpg,4.67,37.16
GUOBEI_imgcls_C_0000043.jpg,4.18,39.6
GUOBEI_imgcls_C_0000044.jpg,4.72,36.91
GUOBEI_imgcls_C_0000045.jpg,4.44,38.31
GUOBEI_imgcls_C_0000046.jpg,4.16,39.72
GUOBEI_imgcls_C_0000047.jpg,4.76,36.7
GUOBEI_imgcls_C_0000048.jpg,4.56,37.71
GUOBEI_imgcls_C_0000049.jpg,4.89,36.07
GUOBEI_imgcls_C_0000050.jpg,4.83,36.35
GUOBEI_imgcls_C_0000051.jpg,4.69,37.06
GUOBEI_imgcls_C_0000052.jpg,4.08,40.11
GUOBEI_imgcls_C_0000053.jpg,5.18,34.62
GUOBEI_imgcls_C_0000054.jpg,4.52,37.88
GUOBEI_imgcls_C_0000055.jpg,4.97,35.63
GUOBEI_imgcls_C_0000056.jpg,4.57,37.67
GUOBEI_imgcls_C_0000057.jpg,3.94,40.78
GUOBEI_imgcls_C_0000058.jpg,4.31,38.97
GUOBEI_imgcls_C_0000059.jpg,4.89,36.05
GUOBEI_imgcls_C_0000060.jpg,3.86,41.18
GUOBEI_imgcls_C_0000061.jpg,4.93,35.87
GUOBEI_imgcls_C_0000062.jpg,4.33,38.83
GUOBEI_imgcls_C_0000063.jpg,4.09,40.07
GUOBEI_imgcls_C_0000064.jpg,4.47,38.17
GUOBEI_imgcls_C_0000065.jpg,4.15,39.75
GUOBEI_imgcls_C_0000066.jpg,4.05,40.27
GUOBEI_imgcls_C_0000067.jpg,3.8,41.5
GUOBEI_imgcls_C_0000068.jpg,3.93,40.86
GUOBEI_imgcls_C_0000069.jpg,4.46,38.22
GUOBEI_imgcls_C_0000070.jpg,4.36,38.68
GUOBEI_imgcls_C_0000071.jpg,3.78,41.62
GUOBEI_imgcls_C_0000072.jpg,4.8,36.5
GUOBEI_imgcls_C_0000073.jpg,4.85,36.27
GUOBEI_imgcls_C_0000074.jpg,4.73,36.84
GUOBEI_imgcls_C_0000075.jpg,4.5,37.99
GUOBEI_imgcls_C_0000076.jpg,4.42,38.42
GUOBEI_imgcls_C_0000077.jpg,4.45,38.23
GUOBEI_imgcls_C_0000078.jpg,3.67,42.16
GUOBEI_imgcls_C_0000079.jpg,3.77,41.65
GUOBEI_imgcls_C_0000080.jpg,4.18,39.61
GUOBEI_imgcls_C_0000081.jpg,4.57,37.67
GUOBEI_imgcls_C_0000082.jpg,4.47,38.16
GUOBEI_imgcls_C_0000083.jpg,4.45,38.26
GUOBEI_imgcls_C_0000084.jpg,4.25,39.24
GUOBEI_imgcls_C_0000085.jpg,4.91,35.93
GUOBEI_imgcls_C_0000086.jpg,4.5,38.02
GUOBEI_imgcls_C_0000087.jpg,3.74,41.78
GUOBEI_imgcls_C_0000088.jpg,3.75,41.76
GUOBEI_imgcls_C_0000089.jpg,4.63,37.37
GUOBEI_imgcls_C_0000090.jpg,4.67,37.16
GUOBEI_imgcls_C_0000091.jpg,4.65,37.26
GUOBEI_imgcls_C_0000092.jpg,4.63,37.37
GUOBEI_imgcls_C_0000093.jpg,4.18,39.6
GUOBEI_imgcls_C_0000094.jpg,4.38,38.62
GUOBEI_imgcls_C_0000095.jpg,4.26,39.21
GUOBEI_imgcls_C_0000096.jpg,4.72,36.89
GUOBEI_imgcls_C_0000097.jpg,4.53,37.86
GUOBEI_imgcls_C_0000098.jpg,4.57,37.67
GUOBEI_imgcls_C_0000099.jpg,4.08,40.12
GUOBEI_imgcls_C_0000100.jpg,3.89,41.07
GUOBEI_imgcls_C_0000101.jpg,4.09,40.04
GUOBEI_imgcls_C_0000102.jpg,4.28,39.12
GUOBEI_imgcls_C_0000103.jpg,3.96,40.69
GUOBEI_imgcls_C_0000104.jpg,3.93,40.83
GUOBEI_imgcls_C_0000105.jpg,4.11,39.97
GUOBEI_imgcls_C_0000106.jpg,3.94,40.8
GUOBEI_imgcls_C_0000107.jpg,3.82,41.41
GUOBEI_imgcls_C_0000108.jpg,3.83,41.35
GUOBEI_imgcls_C_0000109.jpg,3.94,40.78
GUOBEI_imgcls_C_0000110.jpg,4.11,39.96
GUOBEI_imgcls_C_0000111.jpg,4.76,36.68
GUOBEI_imgcls_C_0000112.jpg,4.62,37.38
GUOBEI_imgcls_C_0000113.jpg,4.68,37.12
GUOBEI_imgcls_C_0000114.jpg,4.64,37.32
GUOBEI_imgcls_C_0000115.jpg,4.57,37.65
GUOBEI_imgcls_C_0000116.jpg,4.14,39.78
GUOBEI_imgcls_C_0000117.jpg,4.16,39.69
GUOBEI_imgcls_C_0000118.jpg,4.65,37.26
GUOBEI_imgcls_C_0000119.jpg,4.39,38.55
GUOBEI_imgcls_C_0000120.jpg,3.88,41.08
GUOBEI_imgcls_C_0000121.jpg,3.71,41.93
GUOBEI_imgcls_C_0000122.jpg,4.7,36.99
GUOBEI_imgcls_C_0000123.jpg,4.31,38.97
GUOBEI_imgcls_C_0000124.jpg,4.25,39.23
GUOBEI_imgcls_C_0000125.jpg,4.55,37.75
GUOBEI_imgcls_C_0000126.jpg,5.11,34.96
GUOBEI_imgcls_C_0000127.jpg,3.84,41.31
GUOBEI_imgcls_C_0000128.jpg,4.04,40.32
GUOBEI_imgcls_C_0000129.jpg,3.73,41.85
GUOBEI_imgcls_C_0000130.jpg,3.91,40.93
GUOBEI_imgcls_C_0000131.jpg,4.15,39.76
GUOBEI_imgcls_C_0000132.jpg,4.1,40.0
GUOBEI_imgcls_C_0000133.jpg,4.4,38.48
GUOBEI_imgcls_C_0000134.jpg,4.11,39.94
GUOBEI_imgcls_C_0000135.jpg,3.75,41.76
GUOBEI_imgcls_C_0000136.jpg,4.61,37.47
GUOBEI_imgcls_C_0000137.jpg,4.1,39.98
GUOBEI_imgcls_C_0000138.jpg,4.35,38.75
GUOBEI_imgcls_C_0000139.jpg,4.08,40.09
GUOBEI_imgcls_C_0000140.jpg,4.31,38.96
GUOBEI_imgcls_C_0000141.jpg,4.37,38.66
GUOBEI_imgcls_C_0000142.jpg,4.26,39.21
GUOBEI_imgcls_C_0000143.jpg,4.27,39.15
GUOBEI_imgcls_C_0000144.jpg,4.38,38.59
GUOBEI_imgcls_C_0000145.jpg,4.76,36.68
GUOBEI_imgcls_C_0000146.jpg,4.01,40.44
GUOBEI_imgcls_C_0000147.jpg,4.39,38.54
GUOBEI_imgcls_C_0000148.jpg,4.51,37.93
GUOBEI_imgcls_C_0000149.jpg,3.71,41.95
GUOBEI_imgcls_C_0000150.jpg,4.31,38.93
GUOBEI_imgcls_C_0000151.jpg,4.16,39.68
GUOBEI_imgcls_C_0000152.jpg,3.71,41.97
GUOBEI_imgcls_C_0000153.jpg,4.23,39.34
GUOBEI_imgcls_C_0000154.jpg,5.21,34.47
GUOBEI_imgcls_C_0000155.jpg,4.14,39.8
GUOBEI_imgcls_C_0000156.jpg,3.73,41.87
GUOBEI_imgcls_C_0000157.jpg,3.67,42.13
GUOBEI_imgcls_C_0000158.jpg,4.67,37.15
GUOBEI_imgcls_C_0000159.jpg,4.3,38.99
GUOBEI_imgcls_C_0000160.jpg,4.24,39.31
GUOBEI_imgcls_C_0000161.jpg,4.04,40.32
GUOBEI_imgcls_C_0000162.jpg,4.05,40.26
GUOBEI_imgcls_C_0000163.jpg,4.12,39.89
GUOBEI_imgcls_C_0000164.jpg,4.38,38.61
GUOBEI_imgcls_C_0000165.jpg,4.28,39.12
GUOBEI_imgcls_C_0000166.jpg,4.86,36.2
GUOBEI_imgcls_C_0000167.jpg,4.42,38.41
GUOBEI_imgcls_C_0000168.jpg,4.53,37.86
GUOBEI_imgcls_C_0000169.jpg,4.29,39.06
GUOBEI_imgcls_C_0000170.jpg,4.44,38.3
GUOBEI_imgcls_C_0000171.jpg,4.69,37.04
GUOBEI_imgcls_C_0000172.jpg,4.45,38.23
GUOBEI_imgcls_C_0000173.jpg,3.88,41.08
GUOBEI_imgcls_C_0000174.jpg,3.93,40.87
GUOBEI_imgcls_C_0000175.jpg,4.27,39.13
GUOBEI_imgcls_C_0000176.jpg,4.59,37.56
GUOBEI_imgcls_C_0000177.jpg,4.35,38.77
GUOBEI_imgcls_C_0000178.jpg,4.47,38.13
GUOBEI_imgcls_C_0000179.jpg,3.87,41.17
GUOBEI_imgcls_C_0000180.jpg,3.74,41.78
GUOBEI_imgcls_C_0000181.jpg,4.76,36.68
GUOBEI_imgcls_C_0000182.jpg,3.78,41.6
GUOBEI_imgcls_C_0000183.jpg,3.6,42.49
GUOBEI_imgcls_C_0000184.jpg,4.95,35.77
GUOBEI_imgcls_C_0000185.jpg,4.49,38.04
GUOBEI_imgcls_C_0000186.jpg,4.48,38.08
GUOBEI_imgcls_C_0000187.jpg,4.26,39.22
GUOBEI_imgcls_C_0000188.jpg,4.72,36.9
GUOBEI_imgcls_C_0000189.jpg,4.07,40.15
GUOBEI_imgcls_C_0000190.jpg,4.43,38.37
GUOBEI_imgcls_C_0000191.jpg,4.52,37.88
GUOBEI_imgcls_C_0000192.jpg,4.17,39.65
GUOBEI_imgcls_C_0000193.jpg,4.34,38.82
GUOBEI_imgcls_C_0000194.jpg,4.76,36.72
GUOBEI_imgcls_C_0000195.jpg,4.78,36.6
GUOBEI_imgcls_C_0000196.jpg,4.46,38.18
GUOBEI_imgcls_C_0000197.jpg,4.0,40.52
GUOBEI_imgcls_C_0000198.jpg,4.13,39.83
GUOBEI_imgcls_C_0000199.jpg,4.51,37.95
GUOBEI_imgcls_C_0000200.jpg,4.4,38.49
GUOBEI_imgcls_C_0000201.jpg,4.17,39.66
GUOBEI_imgcls_C_0000202.jpg,4.28,39.09
GUOBEI_imgcls_C_0000203.jpg,3.95,40.77
GUOBEI_imgcls_C_0000204.jpg,4.05,40.25
GUOBEI_imgcls_C_0000205.jpg,4.58,37.58
